iter	Passed	Remaining
0	17	8876
1	44	11001
2	63	10457
3	73	9060
4	88	8758
5	104	8571
6	119	8401
7	134	8257
8	151	8251
9	167	8189
10	181	8067
11	194	7901
12	206	7722
13	217	7548
14	228	7402
15	239	7256
16	250	7116
17	262	7030
18	274	6959
19	285	6851
20	298	6817
21	310	6755
22	322	6694
23	333	6609
24	346	6574
25	359	6558
26	375	6574
27	390	6584
28	405	6581
29	420	6590
30	432	6544
31	446	6535
32	460	6513
33	474	6505
34	490	6512
35	503	6495
36	514	6442
37	529	6441
38	544	6433
39	558	6427
40	571	6398
41	587	6407
42	601	6388
43	610	6329
44	623	6304
45	636	6278
46	647	6243
47	658	6200
48	671	6178
49	684	6163
50	698	6145
51	707	6099
52	720	6074
53	733	6061
54	745	6028
55	755	5986
56	767	5966
57	780	5947
58	790	5906
59	802	5883
60	813	5857
61	824	5827
62	835	5792
63	846	5767
64	858	5743
65	869	5717
66	882	5702
67	895	5688
68	906	5661
69	917	5637
70	929	5617
71	940	5590
72	950	5558
73	963	5549
74	977	5537
75	989	5518
76	1002	5508
77	1013	5485
78	1026	5472
79	1038	5450
80	1048	5423
81	1060	5408
82	1073	5394
83	1085	5377
84	1098	5362
85	1110	5346
86	1122	5330
87	1133	5304
88	1144	5283
89	1156	5266
90	1167	5248
91	1178	5225
92	1190	5208
93	1202	5193
94	1214	5176
95	1225	5158
96	1238	5146
97	1257	5157
98	1273	5156
99	1285	5141
100	1296	5122
101	1308	5104
102	1319	5085
103	1329	5062
104	1339	5040
105	1354	5033
106	1370	5034
107	1383	5023
108	1396	5008
109	1409	4999
110	1421	4983
111	1434	4968
112	1446	4953
113	1457	4934
114	1469	4919
115	1482	4907
116	1496	4898
117	1508	4882
118	1520	4869
119	1532	4852
120	1545	4841
121	1557	4825
122	1568	4808
123	1581	4794
124	1593	4781
125	1605	4766
126	1619	4756
127	1631	4741
128	1644	4728
129	1656	4715
130	1667	4697
131	1683	4693
132	1695	4679
133	1709	4667
134	1720	4652
135	1736	4647
136	1819	4819
137	1883	4941
138	1896	4925
139	1914	4923
140	1942	4946
141	1956	4931
142	1969	4916
143	1983	4904
144	1996	4887
145	2024	4909
146	2044	4909
147	2057	4893
148	2071	4880
149	2085	4865
150	2096	4844
151	2107	4826
152	2119	4807
153	2131	4789
154	2143	4771
155	2158	4759
156	2172	4745
157	2184	4728
158	2195	4709
159	2207	4690
160	2218	4671
161	2230	4652
162	2241	4634
163	2256	4624
164	2268	4606
165	2281	4590
166	2294	4574
167	2304	4554
168	2325	4555
169	2349	4560
170	2369	4559
171	2387	4552
172	2403	4542
173	2417	4528
174	2432	4517
175	2446	4503
176	2460	4490
177	2477	4481
178	2489	4463
179	2500	4445
180	2513	4429
181	2526	4414
182	2539	4398
183	2550	4379
184	2570	4376
185	2593	4377
186	2607	4364
187	2621	4349
188	2632	4331
189	2646	4317
190	2660	4303
191	2674	4290
192	2691	4281
193	2704	4265
194	2715	4246
195	2729	4233
196	2744	4221
197	2759	4209
198	2776	4200
199	2792	4188
200	2808	4177
201	2826	4169
202	2841	4157
203	2855	4143
204	2872	4132
205	2889	4124
206	2906	4113
207	2923	4103
208	2940	4094
209	2956	4082
210	2981	4083
211	2995	4068
212	3006	4051
213	3020	4036
214	3034	4022
215	3047	4006
216	3060	3990
217	3073	3976
218	3090	3964
219	3104	3950
220	3120	3939
221	3138	3929
222	3149	3912
223	3164	3899
224	3179	3885
225	3189	3867
226	3207	3858
227	3221	3842
228	3245	3840
229	3266	3834
230	3294	3836
231	3321	3836
232	3342	3830
233	3362	3821
234	3388	3821
235	3415	3821
236	3435	3812
237	3446	3794
238	3460	3778
239	3473	3763
240	3486	3747
241	3500	3731
242	3515	3718
243	3529	3703
244	3542	3687
245	3557	3673
246	3572	3659
247	3586	3644
248	3597	3626
249	3610	3610
250	3623	3594
251	3635	3577
252	3646	3559
253	3658	3543
254	3674	3530
255	3686	3514
256	3698	3497
257	3712	3482
258	3725	3466
259	3736	3449
260	3748	3432
261	3760	3415
262	3774	3401
263	3786	3385
264	3800	3370
265	3811	3353
266	3825	3338
267	3838	3323
268	3851	3307
269	3864	3291
270	3874	3274
271	3885	3257
272	3898	3241
273	3912	3227
274	3927	3213
275	3937	3195
276	3948	3179
277	3960	3162
278	3969	3144
279	3980	3127
280	3991	3110
281	4001	3093
282	4013	3077
283	4024	3060
284	4035	3044
285	4046	3027
286	4057	3011
287	4067	2993
288	4077	2977
289	4087	2959
290	4099	2944
291	4111	2928
292	4123	2913
293	4134	2897
294	4145	2881
295	4157	2865
296	4168	2848
297	4180	2833
298	4193	2818
299	4206	2804
300	4215	2787
301	4226	2771
302	4238	2755
303	4249	2739
304	4260	2723
305	4271	2708
306	4282	2692
307	4292	2675
308	4305	2661
309	4316	2645
310	4326	2629
311	4337	2613
312	4349	2598
313	4358	2582
314	4369	2566
315	4379	2550
316	4389	2534
317	4401	2519
318	4411	2503
319	4423	2488
320	4437	2474
321	4450	2460
322	4460	2444
323	4471	2428
324	4483	2414
325	4494	2398
326	4504	2383
327	4515	2367
328	4524	2351
329	4534	2336
330	4546	2321
331	4559	2307
332	4569	2291
333	4581	2277
334	4593	2262
335	4602	2246
336	4621	2235
337	4631	2219
338	4643	2205
339	4654	2190
340	4664	2175
341	4676	2160
342	4687	2145
343	4699	2131
344	4710	2116
345	4722	2101
346	4731	2086
347	4743	2071
348	4754	2057
349	4765	2042
350	4777	2027
351	4788	2013
352	4799	1998
353	4811	1984
354	4825	1971
355	4842	1958
356	4860	1946
357	4877	1934
358	4901	1925
359	4921	1913
360	4940	1902
361	4965	1892
362	4985	1881
363	5003	1869
364	5021	1857
365	5040	1845
366	5060	1833
367	5086	1824
368	5107	1813
369	5124	1800
370	5140	1787
371	5156	1774
372	5173	1761
373	5189	1748
374	5209	1736
375	5228	1724
376	5245	1711
377	5261	1698
378	5278	1685
379	5295	1672
380	5311	1658
381	5327	1645
382	5342	1632
383	5358	1618
384	5376	1605
385	5394	1593
386	5409	1579
387	5426	1566
388	5443	1553
389	5456	1539
390	5473	1525
391	5492	1513
392	5506	1499
393	5522	1485
394	5538	1472
395	5554	1458
396	5571	1445
397	5590	1432
398	5606	1419
399	5622	1405
400	5637	1391
401	5656	1378
402	5671	1365
403	5687	1351
404	5703	1337
405	5712	1322
406	5723	1307
407	5734	1292
408	5744	1278
409	5755	1263
410	5765	1248
411	5776	1233
412	5787	1219
413	5798	1204
414	5811	1190
415	5824	1176
416	5837	1161
417	5848	1147
418	5859	1132
419	5872	1118
420	5884	1104
421	5898	1090
422	5911	1076
423	5924	1061
424	5936	1047
425	5949	1033
426	5960	1019
427	5973	1004
428	5985	990
429	5999	976
430	6011	962
431	6024	948
432	6036	934
433	6049	920
434	6062	905
435	6076	892
436	6088	877
437	6101	863
438	6114	849
439	6128	835
440	6138	821
441	6151	807
442	6162	792
443	6176	778
444	6188	764
445	6200	750
446	6212	736
447	6225	722
448	6240	708
449	6251	694
450	6263	680
451	6275	666
452	6285	652
453	6299	638
454	6326	625
455	6342	612
456	6357	598
457	6370	584
458	6382	570
459	6396	556
460	6408	542
461	6421	528
462	6436	514
463	6447	500
464	6459	486
465	6473	472
466	6485	458
467	6495	444
468	6507	430
469	6519	416
470	6530	402
471	6543	388
472	6555	374
473	6569	360
474	6581	346
475	6594	332
476	6606	318
477	6618	304
478	6631	290
479	6646	276
480	6657	262
481	6670	249
482	6687	235
483	6704	221
484	6721	207
485	6736	194
486	6750	180
487	6767	166
488	6787	152
489	6801	138
490	6818	124
491	6834	111
492	6850	97
493	6868	83
494	6883	69
495	6898	55
496	6913	41
497	6928	27
498	6944	13
499	6957	0
