TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
01-01-2024,26.4,32.2,29.6,77.0,1.8,5.6,4.0,290.0,1.0,C 
02-01-2024,27.2,31.8,29.7,78.0,0,0.7,5.0,300.0,1.0,C 
03-01-2024,26.6,30.2,28.0,84.0,2.5,0.0,3.0,260.0,1.0,C 
04-01-2024,26.4,31.4,27.1,87.0,8.5,0.0,3.0,330.0,0.0,C 
05-01-2024,25.0,32.4,28.1,80.0,30.8,0.0,5.0,330.0,1.0,C 
06-01-2024,25.2,32.2,27.8,83.0,1,4.0,4.0,240.0,1.0,C 
07-01-2024,25.8,33.2,28.1,80.0,1.3,3.7,3.0,320.0,1.0,C 
08-01-2024,25.8,31.6,28.3,79.0,-,4.2,5.0,320.0,1.0,C 
09-01-2024,25.0,33.8,29.2,76.0,-,0.0,7.0,320.0,2.0,C 
10-01-2024,26.4,32.8,29.2,76.0,-,6.0,6.0,320.0,2.0,C 
11-01-2024,26.8,32.8,27.3,87.0,0,3.8,5.0,320.0,1.0,C 
12-01-2024,25.0,33.4,28.6,75.0,42,0.8,5.0,240.0,2.0,C 
13-01-2024,26.2,32.4,28.4,80.0,0,3.0,4.0,310.0,1.0,C 
14-01-2024,26.2,32.4,29.5,76.0,2.4,0.4,7.0,330.0,2.0,C 
15-01-2024,26.0,31.4,29.4,74.0,-,3.9,6.0,340.0,2.0,NW
16-01-2024,27.2,34.6,30.2,69.0,0,3.2,9.0,320.0,2.0,W 
17-01-2024,27.2,32.0,28.4,80.0,-,5.6,4.0,320.0,1.0,C 
18-01-2024,25.0,32.6,28.2,79.0,1.5,1.0,7.0,260.0,2.0,W 
19-01-2024,24.8,28.4,26.4,85.0,7.7,1.0,4.0,250.0,2.0,W 
20-01-2024,24.8,35.4,30.5,64.0,11,0.0,7.0,300.0,2.0,C 
21-01-2024,26.0,32.8,28.8,76.0,-,8.0,10.0,230.0,2.0,SW
22-01-2024,26.4,35.0,30.4,66.0,7,5.4,8.0,320.0,3.0,W 
23-01-2024,27.0,34.6,30.1,68.0,-,5.8,5.0,260.0,1.0,C 
24-01-2024,26.0,33.6,30.2,67.0,-,2.7,6.0,260.0,2.0,C 
25-01-2024,27.0,33.0,30.1,72.0,0,5.7,4.0,320.0,1.0,C 
26-01-2024,27.0,32.4,29.1,78.0,0,6.7,10.0,320.0,3.0,NW
27-01-2024,25.6,28.4,26.3,90.0,14,2.5,3.0,330.0,0.0,C 
28-01-2024,25.0,30.6,27.4,85.0,28,0.0,5.0,320.0,1.0,C 
29-01-2024,24.0,29.8,27.2,88.0,24,1.2,5.0,320.0,1.0,C 
30-01-2024,24.6,32.8,26.9,88.0,17.6,0.8,5.0,320.0,1.0,C 
31-01-2024,25.0,31.4,27.9,81.0,110.5,0.7,4.0,320.0,1.0,C 
