TANGGAL,TAVG,RH_AVG,RR
01-07-2024,27.9,83,8888
02-07-2024,28.7,82,0
03-07-2024,28.5,79,0
04-07-2024,27.8,84,7.3
05-07-2024,28.6,81,-
06-07-2024,26.2,90,8888
07-07-2024,28.1,82,28.5
08-07-2024,-,-,-
09-07-2024,25.3,91,8888
10-07-2024,27.4,88,0
11-07-2024,27.4,84,1.2
12-07-2024,27.9,82,0
13-07-2024,28.2,91,0
14-07-2024,27.5,91,0
15-07-2024,27.7,81,0
16-07-2024,27.3,82,0
17-07-2024,28,79,0
18-07-2024,28.7,80,0
19-07-2024,28.4,79,0
20-07-2024,28.6,77,0
21-07-2024,28.4,81,0
22-07-2024,29.4,77,0
23-07-2024,29.1,80,0
24-07-2024,29,75,0
25-07-2024,28.7,74,0
26-07-2024,28.3,78,0
27-07-2024,28.1,78,0
28-07-2024,28.7,78,0
29-07-2024,28.7,78,0
30-07-2024,28.8,78,0
31-07-2024,29,77,0
