Tanggal,Temperatur minimum (°C),Temperatur maksimum (°C),Temperatur rata-rata (°C),Kelembapan rata-rata (%),Curah hujan (mm),Lamanya penyinaran matahari (jam),Kecepatan angin maksimum (m/s),Arah angin saat kecepatan maksimum (°),Kecepatan angin rata-rata (m/s),is_calm,wind_sin,wind_cos
2023-01-01,23.6,29.8,26.3,87.0,14.5,0.0,4.0,320.0,1.0,1,0.0,0.0
2023-01-02,24.2,29.4,27.5,81.0,31.5,0.7,4.0,320.0,2.0,0,-0.7,0.7
2023-01-03,25.0,29.6,26.6,82.0,0.5,0.0,6.0,316.0,1.0,1,0.0,0.0
2023-01-04,24.4,30.0,26.4,86.0,2.4,1.1,5.0,316.0,1.0,1,0.0,0.0
2023-01-05,24.0,32.6,27.4,83.0,35.3,5.1,4.0,317.0,2.0,1,0.0,0.0
2023-01-06,24.4,33.4,29.6,68.0,2.3,2.2,4.0,316.0,1.0,1,0.0,0.0
2023-01-07,27.0,33.8,29.6,70.0,0.0,6.2,4.0,340.0,2.0,1,0.0,0.0
2023-01-08,26.6,32.0,28.1,76.0,2.2,8.0,8.0,320.0,2.0,1,0.0,0.0
2023-01-09,26.2,32.6,29.0,73.0,2.6,3.8,5.0,320.0,3.0,0,-0.7,0.7
2023-01-10,27.2,34.4,30.1,65.0,0.0,5.0,6.0,320.0,1.0,1,0.0,0.0
2023-01-11,26.2,32.0,28.8,73.0,0.0,5.0,4.0,320.0,1.0,1,0.0,0.0
2023-01-12,25.7,32.4,29.1,71.0,12.3,0.0,3.0,320.0,0.0,1,0.0,0.0
2023-01-13,25.0,32.6,29.2,74.0,1.0,8.3,5.0,320.0,1.0,1,0.0,0.0
2023-01-14,26.8,32.0,29.2,72.0,0.0,4.5,3.0,300.0,1.0,1,0.0,0.0
2023-01-15,26.4,34.8,29.8,69.0,0.0,6.4,4.0,260.0,2.0,0,-0.7,0.7
2023-01-16,26.4,32.4,28.9,70.0,0.3,6.5,4.0,320.0,1.0,1,0.0,0.0
2023-01-17,26.0,29.4,27.6,77.0,9.2,1.2,5.0,290.0,1.0,1,0.0,0.0
2023-01-18,26.2,31.6,27.7,78.0,0.0,0.0,7.0,317.0,1.0,1,0.0,0.0
2023-01-19,25.8,30.8,27.5,81.0,3.0,1.0,6.0,250.0,2.0,0,-1.0,-0.0
2023-01-20,26.0,32.4,28.6,72.0,0.6,2.4,3.0,290.0,1.0,1,0.0,0.0
2023-01-21,25.0,31.8,28.6,74.0,2.5,3.0,8.0,320.0,2.0,1,0.0,0.0
2023-01-22,26.4,33.4,29.2,71.0,0.0,5.0,6.0,250.0,2.0,0,-1.0,-0.0
2023-01-23,26.0,32.2,28.6,70.0,0.0,6.0,3.0,270.0,2.0,0,-1.0,-0.0
2023-01-24,26.0,34.0,29.1,71.0,0.5,3.2,7.0,320.0,2.0,1,0.0,0.0
2023-01-25,25.0,30.2,27.2,78.0,12.8,5.5,4.0,316.0,1.0,1,0.0,0.0
2023-01-26,26.2,30.4,27.8,79.0,4.5,0.0,3.0,280.0,1.0,1,0.0,0.0
2023-01-27,26.0,29.6,27.6,80.0,27.5,2.4,5.0,310.0,1.0,1,0.0,0.0
2023-01-28,24.5,28.8,25.6,94.0,26.9,0.0,3.0,310.0,0.0,1,0.0,0.0
2023-01-29,24.0,29.2,26.7,86.0,27.0,0.0,6.0,290.0,1.0,1,0.0,0.0
